Ticker,discription
AUDUSD=X,AUD/USD
AVGO,Broadcom Inc.
AXP,American Express Company
BA,Boeing Co
BAC,Bank of America Corporation
BAM-A.TO,Brookfield Asset Management Inc Cl.A Lv
BCE.TO,BCE Inc
BHC.TO,Bausch Health Companies Inc
BIDU,Baidu Inc.
BIIB,Biogen Inc.
BIP-UN.TO,Brookfield Infra Partners LP Units
BK,The Bank of New York Mellon Corporation
BKNG,Booking Holdings Inc.
BLK,BlackRock Inc.
BMO.TO,Bank of Montreal
BMY,Bristol-Myers Squibb Company
BNS.TO,Bank of Nova Scotia
BPY-UN.TO,Brookfield Property Partners LP
BRK-B,Berkshire Hathaway Inc.
BTC-USD,Bitcoin
C,Citigroup Inc.
CAD=X,USD/CAD
CADCNY=X,CAD/CNY
CADTWD=X,CAD/TWD
CADUSD=X,CAD/USD
CAR-UN.TO,CDN Apartment Un
CAT,Caterpillar Inc.
CCL-B.TO,Ccl Industries Inc Cl B NV
CCO.TO,Cameco Corp
CDNS,Cadence Design Systems Inc.
CDW,CDW Corporation
CERN,Cerner Corporation
CHF=X,USD/CHF
CHFUSD=X,CHF/USD
CHKP,Check Point Software Technologies Ltd.
CHTR,Charter Communications Inc.
CL,Colgate-Palmolive Company
CL=F,CL
CM.TO,Canadian Imperial Bank of Commerce
CMCSA,Comcast Corporation
CNQ.TO,CDN Natural Res
CNR.TO,Canadian National Railway Co.
CNY=X,USD/CYN
CNYUSD=X,CNY/USD
COF,Capital One Financial Corporation
COP,ConocoPhillips
COST,Costco Wholesale Corporation
CP.TO,Canadian Pacific Railway Limited
CPRT,Copart Inc.
CRM,salesforce.com Inc.
CSCO,Cisco Systems Inc.
CSU.TO,Constellation Software Inc
CSX,CSX Corporation
CTAS,Cintas Corporation
CTC-A.TO,Canadian Tire Corporation Cl A NV
CTSH,Cognizant Technology Solutions Corporation
CVE.TO,Cenovus Energy Inc
CVS,CVS Health Corporation
CVX,Chevron Corp
DHR,Danaher Corporation
DIS,Walt Disney Co
DLTR,Dollar Tree Inc.
DOCU,DocuSign Inc.
DOL.TO,Dollarama Inc
DOW,DowDuPont Inc.
DUK,Duke Energy Corporation
DX-Y.NYB,USDINDEX
DXCM,DexCom Inc.
EA,Electronic Arts Inc.
EBAY,eBay Inc.
EMA.TO,Emera Incorporated
EMR,Emerson Electric Co.
ENB.TO,Enbridge Inc
EURUSD=X,EURUSD
EXC,Exelon Corporation
F,Ford Motor Company
FAST,Fastenal Company
FB,Facebook Inc.
FDX,FedEx Corporation
FISV,Fiserv Inc.
FM.TO,First Quantum Minerals Ltd
FNV.TO,Franco-Nevada Corp
FOXA,Fox Corporation
FTS.TO,Fortis Inc
GBPUSD=X,GBP/USD
GC=F,Glod
GD,General Dynamics Corporation
GE,General Electric Company
GIB-A.TO,CGI Group Inc Cl.A Sv
GIL.TO,Gildan Activewear Inc
GILD,Gilead Sciences Inc.
GM,General Motors Company
GOOG,GOOG
GOOGL,Alphabet Inc.
GS,GS
HD,The Home Depot Inc.
HON,Honeywell International Inc
IBM,International Business Machines Corp
IDXX,IDEXX Laboratories Inc.
ILMN,Illumina Inc.
