Ticker,discription
TEAM,Atlassian Corporation Plc
TECK-B.TO,Teck Resources Limited Cl B
TGT,Target Corporation
TMO,Thermo Fisher Scientific Inc.
TMUS,T-Mobile US Inc.
TRI.TO,Thomson Reuters Corp
TRP.TO,Tc Energy Corp
TRV,Travelers Companies Inc
TSLA,TSLA
TWD=X,USD/TWD
TXN,Texas Instruments Inc.
UNH,UnitedHealth Group Inc.
UNP,Union Pacific Corporation
UPS,United Parcel Service Inc.
USB,U.S. Bancorp
V,Visa Inc.
VCN.TO,VCN.TO
VRSK,Verisk Analytics Inc.
VRSN,VeriSign Inc.
VRTX,Vertex Pharmaceuticals Inc.
VZ,Verizon Communications Inc.
WBA,Walgreens Boots Alliance Inc
WCN.TO,Waste Connections Inc
WDAY,Workday Inc.
WEED.TO,Canopy Growth Corp
WFC,Wells Fargo & Company
WMT,Walmart Inc
WN.TO,Weston George
WPM.TO,Wheaton Precious Metals Corp
X.TO,TSX
XAW.TO,XAW.TO
XEL,Xcel Energy Inc.
XLNX,Xilinx Inc.
XOM,Exxon Mobil Corporation
XQQ.TO,XQQ.TO
XUU.TO,XUU.TO
ZM,Zoom Video Communications Inc.
^DJI,DOW
^FCHI,France
^GDAXI,Germany
^GSPC,SP500
^GSPTSE,Canada
^HSI,HongKong
^IXIC,NQ
^KS11,Koera
^N225,Japan
^TWII,Taipei
^TYX,Treasury30
^VIX,VIX
